Unnamed: 0,Txn Hash,Method,Unnamed: 3,From,Unnamed: 5,To,Value,Token
,0x946ac1521eab4389bd8f6411f1dca2406f2bb623dc26a005cc3d77f1f1552194,Execute,16 secs ago,0x11AaCf...0d70d697,,Uniswap V3: PABLO,0.146,Wrapped Ethe... (WETH)
,0x946ac1521eab4389bd8f6411f1dca2406f2bb623dc26a005cc3d77f1f1552194,Execute,16 secs ago,Uniswap V3: PABLO,,0x11AaCf...0d70d697,1067.988036192,PABLO DEFI (PABLO)
,0x13582e3b49416b85ef78b1e840a150978a42a16cc051a6e7fc01ec634f69710b,Borrow,16 secs ago,0xa69833...708Df0dd,,0x458DbF...D23CA0Cb,3.61,Blur Pool (Blur P...)
,0x62d54b80038897223e0b2a892ad9ea98f65faff40e810a558a2aebd508121774,Borrow,16 secs ago,0xa69833...708Df0dd,,0x458DbF...D23CA0Cb,3.61,Blur Pool (Blur P...)
,0x65f82100a7db3043943ab2b1c0fbfbde67e738ee0feae1a858b310b8da9299fb,Mint,16 secs ago,0x2F65B8...8210AC27,,Uniswap V3: BSSB 2,6588.541807776,BSSB (BSSB)
,0x39314ebef4523b8cd01d0b8e4f8e443f8a1bb4fbd16adcbf25f75cdd7983d9ff,Relay Tokens,16 secs ago,0x67c504...44106360,,PulseChain: Omnibridge Proxy,12111.9145024,HEX (HEX)
,0x4d91352fe63769a445c3c5b354859395c845daa556f4f5e78842488de6935ce9,Execute,16 secs ago,Uniswap: Universal Router,,Uniswap V3: PNDC 2,0.2,Wrapped Ethe... (WETH)
,0x4d91352fe63769a445c3c5b354859395c845daa556f4f5e78842488de6935ce9,Execute,16 secs ago,Uniswap V3: PNDC 2,,psalm2205.eth,615269371.8232743,Pond Coin (PNDC)
,0xf5b96472aeda6ffea69dea518894e39a10e3fd976fdab52b1a65e0fde0658ec2,Take Bid,16 secs ago,Blur.io: Marketplace 3,,0xBeeC10...91AB4841,0.1,Blur Pool (Blur P...)
,0xf5b96472aeda6ffea69dea518894e39a10e3fd976fdab52b1a65e0fde0658ec2,Take Bid,16 secs ago,0x7A710c...757BfEe4,,Blur.io: Marketplace 3,0.05,Blur Pool (Blur P...)
